CO1_seq_number	run1	run2	taxonomy	taxonomy_confidence	acessions
KP254210.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Isopoda;family:Sphaeromatidae;genus:Cilicaea;species:Cilicaea sp. BOLD:AAR9230;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.2380952381;	KP253989.1;KP253989.1;KP254107.1;KP254107.1;KP254586.1;KP254586.1;KP254145.1;KP254145.1;KP254062.1;KP254062.1;EF989646.1;EF989646.1;KP254005.1;KP254005.1;KP254583.1;KP254583.1;KP255330.1;KP255330.1;KP254770.1;KP254770.1;KP254611.1;KP254611.1;KP255058.1;KP255058.1;KP254865.1;KP254865.1;KP254399.1;KP255197.1;KP254183.1;KP254327.1;KP254070.1;KP255289.1;KP255328.1;KP254339.1;KJ814238.1;HG915297.1
KP254222.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Panopeidae;genus:Panopeus;species:Panopeus occidentalis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254807.1;KP254807.1;KP255041.1;KP255041.1;KP254250.1;KP254250.1;KP254187.1;KP254187.1;KP254995.1;KP254995.1;KP254222.1;KP254222.1;KP254599.1;KP254599.1;KP254878.1;KP254878.1;KP254043.1;KP254043.1;KP254704.1;KP254704.1;KP254116.1;KP254116.1;KP254184.1;KP254184.1;KP254246.1;KP254246.1;KP255157.1;KP255157.1;KP254651.1;KP254651.1;KP255176.1;KP255176.1;KP255302.1;KP255302.1;KP254969.1;KP254969.1;KP254943.1;KP254943.1;KP254329.1;KP254329.1;KP254595.1;KP254595.1;KP254395.1;KP254395.1;KP254561.1;KP254561.1;KP254897.1;KP254897.1;KP254057.1;KP254057.1;KP254227.1;KP254227.1;KP254004.1;KP254004.1;KP255344.1;KP255344.1;KP254981.1;KP254981.1;KP254831.1;KP254831.1;KP255094.1;KP255094.1;KP254761.1;KP254761.1;KP254106.1;KP254106.1;KP254122.1;KP254122.1;KP254308.1;KP254308.1;KP254418.1;KP254418.1;KP254249.1;KP254249.1;KP255243.1;KP255243.1;KP254087.1;KP254087.1;MF490088.1;MF490088.1;MF490109.1;MF490109.1;KP255029.1;KF682763.1;KF682764.1;KP254213.1;KP254869.1;KX018514.1;GU671845.1;LK391945.1;LC030195.1;KX162390.1;KX162437.1;KX162331.1;KX162328.1;KX162324.1;KX162329.1;KX162332.1;AB457752.1;JF859723.1;KX162323.1;DQ310624.1;KX162405.1;KU064963.1;KM937166.1;KX044634.1
KP254259.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Majidae;genus:Microphrys;species:Microphrys bicornutus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254259.1;KP254259.1;EU329161.1;EU329161.1;EU682843.1;EU682843.1;KX033404.1;KX033404.1;KP255294.1;KP255294.1;KF452929.1;KF452929.1;KP255177.1;AB470510.1;AY350986.1;AB470511.1;AB433569.1;AB470512.1;AB433570.1;AB433571.1;AB625741.1;AB535472.1;AB535474.1;AB625743.1;AB625742.1;AB535461.1;KT897592.1;AB266310.1;AB535473.1;AB266309.1;AB625727.1;AB625724.1;AB625731.1;AB625725.1;AB625726.1;KU285620.1;AB535463.1;AB535465.1;AB535467.1;AB266288.1;AB266290.1;AB266291.1;HM462828.1;AB266289.1;AB266285.1;AB535466.1;HM464817.2;HG328357.1
KP254266.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Phyllodocida;family:Polynoidae;genus:Harmothoe;species:Harmothoe longidentis;	superkingdom:100.0;phylum:78.0;class:75.0;order:75.0;family:75.0;genus:75.0;species:75.0;	KP254266.1;KP254266.1;KT425081.1;KX293091.1;KX295075.1;MF067093.1
KP254357.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:Alpheus;species:Alpheus sp. BOLD:ACQ4373;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254357.1;KP254357.1;KP253982.1;AB772281.1
KP254368.1_extraction	1	1	superkingdom:Eukaryota;phylum:Platyhelminthes;class:NA;order:NA;family:NA;genus:NA;species:Platyhelminthes sp. FLTWO130-14;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254368.1
KP254462.1_extraction	1	1	superkingdom:Eukaryota;phylum:Platyhelminthes;class:NA;order:Polycladida;family:Pseudocerotidae;genus:Pseudoceros;species:Pseudoceros sp. m SCK-2017;	superkingdom:100.0;phylum:100.0;class:75.95;order:100.0;family:100.0;genus:100.0;species:100.0;	KY421507.1;KY421504.1;KY421503.1;KY421505.1;KY421506.1
KP254531.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:NA;species:Alpheidae sp. BOLD:ACQ5750;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:98.5;genus:48.0;species:97.0;	KP254398.1;KP254398.1;KP254775.1;KP254775.1;KP255311.1;KP255311.1;KP254746.1;KP254746.1;KP254095.1;KP254095.1;KP254531.1;KP254531.1;KP255109.1;KP255109.1;KP255238.1;KP255238.1;KP254123.1;KP254123.1;KP254840.1;KP254840.1;KP255258.1;KP255258.1;KP254902.1;KP254902.1;KP255127.1;KP255127.1;KP254318.1;KP254115.1;HM464435.1;HM464438.1;KP276147.1;KP276147.1
KP254742.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Panopeidae;genus:Dyspanopeus;species:Dyspanopeus sayi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:98.3235814919;genus:98.3235814919;species:98.3235814919;	KP255145.1;KP255145.1;KP254328.1;KP254328.1;KP254068.1;KP254068.1;KP254168.1;KP254168.1;KP254040.1;KP254040.1;KP254860.1;KP254860.1;KU905771.1;KU905771.1;KP254846.1;KP254846.1;KP254886.1;KP254886.1;KP255256.1;KP255256.1;KP254013.1;KP254013.1;FR869685.1;FR869685.1;KP254347.1;KP254347.1;KP254002.1;KP254002.1;KP255248.1;KP255248.1;KP255194.1;KP255194.1;KP255068.1;KP255068.1;KP254885.1;KP254885.1;KP254722.1;KP254722.1;FJ581617.1;FJ581617.1;KP254959.1;KP254959.1;KP255044.1;KP255044.1;KP254264.1;KP254264.1;KP254159.1;KP254159.1;KP255321.1;KP255321.1;KU905847.1;KU905847.1;KP254665.1;KP254665.1;KP254309.1;KP254309.1;KP254715.1;KP254715.1;KP254795.1;KP254795.1;KP254621.1;KP254621.1;KU905844.1;KU905844.1;KP254939.1;KP254939.1;KP254908.1;KP254908.1;FR869684.1;FR869684.1;KP254965.1;KP254965.1;KP255300.1;KP255300.1;KP255274.1;KP255274.1;KP254076.1;KP254076.1;KP255236.1;KP255236.1;KP254697.1;KP254697.1;KP255155.1;KP255155.1;KP254776.1;KP254776.1;KP254879.1;KP254879.1;KP254260.1;KP254260.1;KP254994.1;KP254994.1;KP254638.1;KP254638.1;KP254169.1;KP254169.1;KP254645.1;KP254645.1;KP254235.1;KP254526.1;KP254333.1;KP254163.1;KP254470.1;KP255005.1;KP254564.1;KP254877.1;KP254530.1;KP255104.1;KP254315.1;KP254523.1;KP254663.1;KP254572.1;KP255077.1;KP255120.1;FR869686.1;KP254346.1;HM638057.1;KP254945.1;KP254900.1;KP255263.1;KP254354.1;KP254903.1;KP255186.1;KP254262.1;KP254830.1;KP254658.1;KP255054.1;KP255057.1;KP255126.1;KP254379.1;KP254464.1;KP254464.1;KP254428.1;KP254820.1;KF682790.1;LN810615.1;LN810615.1;KX377303.1
KP254745.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Mithracidae;genus:Mithraculus;species:Mithraculus forceps;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:86.9417513043;genus:86.9417513043;species:86.9417513043;	KP254601.1;KP254601.1;EU329162.1;EU329162.1;KP254745.1;KP254745.1;KF452930.1;KF452930.1;GU144554.1;GU144554.1;KP254369.1;KP254369.1;KF452912.1;KF452912.1;KP254625.1;KP254625.1;HM464935.1;HM464935.1;KP254137.1;KP254137.1;HM464932.1;HM464932.1;KF452916.1;KF452916.1;MF490099.1;MF490099.1;HM464931.1;HM464931.1;KX398198.1;KX398198.1;HM464934.1;HM464934.1;EU329163.1;EU329163.1;JQ306121.1;KF369146.1;LC087951.1;FJ693544.1;KU905778.1;FJ693523.1;FJ693534.1;HM465485.1;FN430703.1;FN430702.1;JQ180248.1;JF905672.1;JN107929.1;HM462620.1;JN107927.1;GQ260920.1;HM462621.1;GQ260975.1
KP254748.1_extraction	1	1	superkingdom:Eukaryota;phylum:Platyhelminthes;class:NA;order:NA;family:NA;genus:NA;species:Platyhelminthes sp. FLTWO043-14;	superkingdom:100.0;phylum:100.0;class:91.5;order:91.5;family:91.5;genus:91.5;species:91.5;	KP254422.1;KP254422.1;KP254748.1;KP255119.1
KP254797.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:NA;family:NA;genus:NA;species:Polychaeta sp. BOLD:AAG4515;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254797.1;KP254797.1
KP254843.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:Synalpheus;species:Synalpheus hemphilli;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254843.1;KP254843.1;KJ595092.1;KJ595092.1;KJ477701.1;KJ477701.1;KJ595093.1;KJ595093.1;KP254236.1;KP254236.1;HM463671.1;HM463662.1;HM463669.1;KJ625030.1;KU578936.1;KU578947.1;AB535484.1;AB625708.1
KP254861.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Palaemonidae;genus:NA;species:Palaemonidae sp. BOLD:AAI2206;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:58.3333333333;genus:8.33333333333;species:58.3333333333;	HM466457.1;HM466457.1;KP255173.1;KP255173.1;KP254234.1;KP254234.1;KP254958.1;KP254958.1;KP254190.1;KP254190.1;KP254124.1;KP254124.1;KP255045.1;KP255045.1;KP254170.1;HM466456.1;HM466459.2;HM466460.1;HM466458.1;KP254177.1;KP255327.1;KP255327.1;KP254064.1;KP254768.1
KP254868.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Eriphiidae;genus:Menippe;species:Menippe mercenaria;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:66.6666666667;	EU329160.1;EU329160.1;KP255317.1;KP255317.1;EU329159.1;EU329159.1;KP254868.1;KP254868.1;HM638049.1;HM638048.1;KU285625.1;KU157056.1;KU286030.1;KU157076.1;KU157074.1;KU286058.1;KU285893.1;KU286036.1;KU285968.1;KU285895.1;KU285626.1;KU285653.1;JF905670.1;KU286046.1;KU286042.1;KU285723.1;KU285655.1;HM462698.1;KU285796.1;KU286045.1;KU286040.1;KU285982.1;KU285974.1;KU286043.1;KU285725.1;KU285905.1;KU286121.1;KU286062.1;JN107930.1;HM463620.1;KU286122.1;KU285716.1;HM750965.1;KM204174.1;KM204160.1;KJ595078.1;KM204159.1
KP255000.1_extraction	1	1	superkingdom:Eukaryota;phylum:Mollusca;class:Gastropoda;order:NA;family:Placobranchidae;genus:Elysia;species:Elysia subornata;	superkingdom:100.0;phylum:100.0;class:100.0;order:25.8525252525;family:100.0;genus:100.0;species:100.0;	KP255000.1;KP255000.1;KP255237.1;KP255237.1;HQ616848.1;HQ616848.1;KP254015.1;KP254015.1;JN819111.1;JN819111.1;KP254229.1;KP254229.1;DQ471283.1;KM879881.1;DQ781351.1;DQ781350.1;DQ781349.1;KC573749.1;GQ996689.1;GQ996689.1;DQ781340.1;DQ781342.1;DQ781344.1;DQ781343.1;DQ781345.1;DQ781346.1;DQ781341.1;DQ781339.1;DQ781348.1;KC573750.1;KC573751.1;HM187628.1;DQ781347.1;KP187844.1;HM187631.1;JN825151.1;KC573701.1;GQ996687.1;AB758962.1;GQ996692.1;GQ996692.1;KC573753.1;KC573752.1;HM187625.1;AB758960.1;KM086373.1;KC573695.1;KC573694.1;KC573696.1;AB758964.1;HM187626.1;KM086384.1;KM086386.1;KM086370.1;KJ138294.1;KC573746.1;AB758943.1;KC573760.1;AB758947.1;GQ996685.1;GQ996685.1;GQ996667.1;DQ471217.1;DQ471216.1;KJ522458.1;DQ471281.1;KJ138296.1;GQ996691.1;KM086363.1;HQ616856.1;KM086365.1;KM086365.1;KJ138298.1;KJ138292.1;HQ616860.1;AB758956.1;GQ996690.1;HQ380193.1;KM086360.1;DQ471248.1;HQ380202.1;KF411404.1
KP255001.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Eunicida;family:Amphinomidae;genus:Eurythoe;species:Eurythoe sp. 1 PCP-2009;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:50.0;	KP255001.1;KP255001.1;FJ429269.1;JN086548.1;JN086548.1;FJ429273.1;FJ429263.1;FJ429272.1;FJ429271.1;FJ429267.1;FJ429266.1;FJ429262.1
KP255097.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:Alpheus;species:Alpheus sp. BOLD:ACQ6887;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254499.1;KP254499.1;EF532616.1;EF092274.1;EF092273.1;EF092284.1
KP255147.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Portunidae;genus:Charybdis;species:Charybdis hellerii;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:99.6;genus:99.6;species:84.5017973856;	KF870477.1;KF870477.1;KX060238.1;KX060238.1;KF793329.1;KF793329.1;KP254353.1;KP254353.1;KX060224.1;KX060224.1;KX060236.1;KX060236.1;JX123454.1;JX123454.1;KX018512.1;KX018512.1;KX060233.1;KX060233.1;KX060280.1;KX060280.1;KF714930.1;KF714930.1;KF574085.1;KX060249.1;KX060249.1;KX060227.1;KX060227.1;KX060288.1;KJ721225.1;KP292977.1;KC760155.1;KP976227.1;KM927932.1;MF490093.1;DQ070366.1;DQ070354.1;LC053370.1;LC053370.1;AB491165.1;AB491165.1;JX502938.1;JX502938.1;KX038524.1;AY351061.1;JX502937.1;AB535432.1;JX502936.1
KP255166.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:NA;family:NA;genus:NA;species:Malacostraca sp. BOLD:ACQ1097;	superkingdom:100.0;phylum:100.0;class:100.0;order:12.6305555556;family:12.6305555556;genus:12.6305555556;species:87.3694444444;	KP254024.1;KP254024.1;KP254206.1;KP254206.1;KP254460.1;KP254460.1;KP255166.1;KP255166.1;KP254639.1;KP254639.1;KP255283.1;KP255283.1;KP254067.1;KP254067.1;KP255055.1;KP255055.1;KP254020.1;KP254020.1;KP254662.1;KP254662.1;KP254723.1;KP254723.1;KP254505.1;KP254505.1
KP255183.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:NA;family:NA;genus:NA;species:Polychaeta sp. BOLD:ACM6964;	superkingdom:100.0;phylum:100.0;class:100.0;order:50.0;family:50.0;genus:50.0;species:100.0;	KP255183.1;KP255183.1;KP254901.1;KP254901.1
KP255241.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Porcellanidae;genus:Petrolisthes;species:Petrolisthes armatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KY857351.1;KY857351.1;KP255241.1;KP255241.1;FJ693515.1;FJ693515.1;KY857395.1;KY857395.1;KY857416.1;KY857416.1;FJ693508.1;FJ693508.1;KY857357.1;KY857357.1;KY857407.1;KY857407.1;KY857368.1;KY857368.1;KY857404.1;KY857404.1;KY857388.1;KY857388.1;KY857347.1;KY857347.1;KY857421.1;KY857421.1;KY857365.1;KY857365.1;KY857396.1;KY857396.1;KY857352.1;KY857352.1;KY857359.1;KY857359.1;KY857437.1;KY857437.1;FJ693441.1;FJ693441.1;KY857409.1;KY857409.1;KY857363.1;KY857363.1;KY857360.1;KY857360.1;KY857391.1;KY857391.1;KY857400.1;KY857400.1;KY857394.1;KY857394.1;KY857362.1;KY857362.1;KY857424.1;KY857424.1;KY857389.1;KY857389.1;KY857418.1;KY857418.1;KY857355.1;KY857355.1;FJ693483.1;FJ693483.1;KY857401.1;KY857401.1;KY857385.1;KY857385.1;KY857358.1;KY857358.1;KY857415.1;KY857415.1;KY857417.1;KY857417.1;KY857412.1;KY857412.1;KY857386.1;KY857386.1;KY857406.1;KY857406.1;FJ693489.1;FJ693489.1;KY857428.1;KY857428.1;FJ693415.1;FJ693415.1;KY857367.1;KY857367.1;KY857349.1;KY857349.1;FJ693393.1;FJ693393.1;FJ693436.1;FJ693436.1;FJ693512.1;FJ693512.1;KY857354.1;KY857354.1;KY857356.1;KY857356.1;KY857399.1;KY857399.1;KY857390.1;KY857390.1;KY857387.1;KY857387.1;FJ693498.1;FJ693498.1;KY857427.1;KY857427.1;KY857423.1;KY857423.1;FJ693504.1;FJ693504.1;KY857361.1;KY857361.1;KY857282.1;KY857282.1;FJ693486.1;FJ693486.1;KY857403.1;KY857403.1;KY857434.1;KY857434.1;KY857420.1;KY857420.1;KY857392.1;KY857392.1;KY857430.1;KY857430.1;FJ693410.1;FJ693410.1;KY857364.1;KY857364.1;KY857393.1;KY857393.1;KY857280.1;KY857280.1;KP255326.1;KP255326.1;KY857413.1;KY857413.1;KY857397.1;KY857397.1;KY857350.1;KY857350.1;FJ693471.1;FJ693471.1;FJ693419.1;FJ693419.1;KY857284.1;KY857284.1;KY857433.1;KY857433.1;KY857353.1;KY857353.1;KY857398.1;KY857398.1;FJ693400.1;FJ693400.1;KY857383.1;KY857383.1;KY857366.1;KY857366.1;KY857422.1;KY857422.1;KY857425.1;KY857425.1;KY857431.1;KY857431.1;KY857447.1;KY857447.1;KY857348.1;KY857348.1;KY857408.1;KY857408.1;FJ693377.1;FJ693377.1;KY857384.1;KY857384.1;FJ693380.1;FJ693380.1;FJ693494.1;FJ693494.1;KY857450.1;KY857450.1;KY857451.1;KY857451.1;KY857317.1;KY857317.1;KY857455.1;KY857455.1;FJ693429.1;FJ693429.1;KY857436.1;KY857436.1;KY857331.1;KY857331.1;KY857382.1;KY857382.1;KY857444.1;KY857444.1
