CO1_seq_number	run1	run2	taxonomy	taxonomy_confidence	acessions
KP254843.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:Synalpheus;species:Synalpheus hemphilli;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254843.1;KJ595092.1;KJ477701.1;KP254236.1;KJ595093.1
KP254861.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Palaemonidae;genus:NA;species:Palaemonidae sp. BOLD:AAI2206;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:80.0;genus:20.0;species:80.0;	KP255173.1;KP254234.1;HM466457.1;KP254958.1;KP254190.1;KP255045.1;KP254124.1;KP254170.1;HM466459.2;KP255327.1;HM466456.1;HM466458.1;KP254177.1;HM466460.1
KP254868.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Eriphiidae;genus:Menippe;species:Menippe mercenaria;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:75.0;	EU329159.1;KP254868.1;KP255317.1;EU329160.1;HM638048.1;HM638049.1
KP255000.1_extraction	1	1	superkingdom:Eukaryota;phylum:Mollusca;class:Gastropoda;order:NA;family:Placobranchidae;genus:Elysia;species:Elysia subornata;	superkingdom:100.0;phylum:100.0;class:100.0;order:79.1666666667;family:100.0;genus:100.0;species:100.0;	KP255000.1;KP255237.1;JN819111.1;KP254015.1;KP254229.1;HQ616848.1;KM879881.1;DQ471283.1;DQ781350.1;DQ781349.1;DQ781351.1
KP255001.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Eunicida;family:Amphinomidae;genus:Eurythoe;species:Eurythoe complanata;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP255001.1;JN086548.1;FJ429269.1;FJ429271.1;FJ429273.1;FJ429263.1;FJ429272.1;FJ429267.1
KP255097.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Alpheidae;genus:Alpheus;species:Alpheus sp. BOLD:ACQ6887;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP254499.1
KP255147.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Portunidae;genus:Charybdis;species:Charybdis hellerii;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KF870477.1;KF793329.1;KX060238.1;KP254353.1;KX060224.1;KX060236.1;KX060233.1;KX018512.1;JX123454.1;KX060280.1;KF714930.1;KX060227.1;KX060249.1;KF574085.1;KX060288.1
KP255166.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:NA;family:NA;genus:NA;species:Malacostraca sp. BOLD:ACQ1097;	superkingdom:100.0;phylum:100.0;class:100.0;order:14.1238095238;family:14.1238095238;genus:14.1238095238;species:85.8761904762;	KP254024.1;KP254639.1;KP254206.1;KP255283.1;KP255166.1;KP254460.1;KP254020.1;KP254067.1;KP255055.1;KP254662.1;KP254723.1;KP254505.1
KP255183.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:NA;family:NA;genus:NA;species:Polychaeta sp. BOLD:ACM6964;	superkingdom:100.0;phylum:100.0;class:100.0;order:82.0;family:82.0;genus:82.0;species:100.0;	KP255183.1;KP254901.1
KP255241.1_extraction	1	1	superkingdom:Eukaryota;phylum:Arthropoda;class:Malacostraca;order:Decapoda;family:Porcellanidae;genus:Petrolisthes;species:Petrolisthes armatus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KY857401.1;KY857424.1;KY857365.1;KY857421.1;KY857437.1;FJ693508.1;FJ693415.1;KY857363.1;KY857368.1;KY857352.1;KY857409.1;KY857358.1;KY857391.1;KY857412.1;KY857407.1;KY857389.1;KY857386.1;KY857362.1;FJ693489.1;KY857406.1;KY857359.1;FJ693393.1;KY857354.1;KY857400.1;KY857367.1;FJ693512.1;KY857351.1;KY857415.1;KY857428.1;KY857347.1;KY857394.1;FJ693441.1;KY857360.1;KY857385.1;KP255241.1;FJ693483.1;KY857349.1;KY857416.1;KY857395.1;KY857417.1;KY857418.1;KY857355.1;KY857404.1;KY857356.1;FJ693436.1;FJ693515.1;KY857357.1;KY857396.1;KY857388.1;KY857397.1;FJ693419.1;KY857433.1;KY857399.1;KY857280.1;KY857364.1;FJ693486.1;KY857366.1;FJ693400.1;KY857413.1;KY857398.1;KY857383.1;KY857403.1;FJ693471.1;KY857361.1;KY857390.1;FJ693410.1;KY857284.1;KY857387.1;KY857427.1;KY857393.1;KY857423.1;KY857392.1;KY857434.1;KY857420.1;KY857422.1;KY857282.1;KY857350.1;KY857430.1;KY857353.1;KY857451.1;KY857375.1;KY857414.1;KY857372.1;KY857346.1;KY857369.1;FJ693487.1;FJ693485.1;KY857331.1;FJ693379.1;FJ693457.1;KY857307.1;KY857294.1;FJ693382.1;FJ693484.1;KY857336.1;KY857320.1;KY857289.1;KY857291.1;KY857501.1;KY857519.1
KP255273.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Phyllodocida;family:Polynoidae;genus:Lepidonotus;species:Lepidonotus humilis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP255273.1
KP255278.1_extraction	1	1	superkingdom:Eukaryota;phylum:Annelida;class:Polychaeta;order:Phyllodocida;family:Hesionidae;genus:NA;species:Hesionidae sp. BOLD:AAG1042;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KP255278.1
